النشاط,العام,"حجم المنشأة","عدد المنشآت"
النشر,2011,"‏4-1 موظفين",346
النشر,2011,"‏19-5 موظف",191
النشر,2012,"‏19-5 موظف",199
النشر,2012,"‏20+ موظف",55
النشر,2012,"‏4-1 موظفين",366
النشر,2013,"‏4-1 موظفين",391
النشر,2013,"‏19-5 موظف",204
النشر,2013,"‏20+ موظف",58
النشر,2014,"‏20+ موظف",67
النشر,2014,"‏4-1 موظفين",461
النشر,2014,"‏19-5 موظف",221
النشر,2015,"‏19-5 موظف",239
النشر,2015,"‏20+ موظف",77
النشر,2015,"‏4-1 موظفين",462
النشر,2016,"‏4-1 موظفين",494
النشر,2016,"‏19-5 موظف",245
النشر,2016,"‏20+ موظف",81
النشر,2017,"‏20+ موظف",82
النشر,2017,"‏4-1 موظفين",497
النشر,2017,"‏19-5 موظف",245
النشر,2018,"‏19-5 موظف",245
النشر,2018,"‏20+ موظف",82
النشر,2018,"‏4-1 موظفين",501
الاتصالات,2010,"‏19-5 موظف",358
الاتصالات,2010,"‏20+ موظف",144
الاتصالات,2010,"‏4-1 موظفين",1816
الاتصالات,2011,"‏4-1 موظفين",1844
الاتصالات,2011,"‏19-5 موظف",371
الاتصالات,2011,"‏20+ موظف",147
الاتصالات,2012,"‏20+ موظف",160
الاتصالات,2012,"‏4-1 موظفين",1958
الاتصالات,2012,"‏19-5 موظف",396
الاتصالات,2013,"‏19-5 موظف",424
الاتصالات,2013,"‏20+ موظف",173
الاتصالات,2013,"‏4-1 موظفين",2057
الاتصالات,2014,"‏4-1 موظفين",2377
الاتصالات,2014,"‏19-5 موظف",506
الاتصالات,2014,"‏20+ موظف",212
الاتصالات,2015,"‏20+ موظف",260
الاتصالات,2015,"‏4-1 موظفين",2384
الاتصالات,2015,"‏19-5 موظف",523
الاتصالات,2016,"‏19-5 موظف",560
الاتصالات,2016,"‏20+ موظف",281
الاتصالات,2016,"‏4-1 موظفين",2505
الاتصالات,2017,"‏19-5 موظف",564
الاتصالات,2017,"‏20+ موظف",281
الاتصالات,2017,"‏4-1 موظفين",2508
الاتصالات,2018,"‏20+ موظف",281
الاتصالات,2018,"‏4-1 موظفين",2398
الاتصالات,2018,"‏19-5 موظف",562
